valuation_id,property_id,valuation_date,valuation_method,market_value_eur,market_value_ron,price_per_sqm_eur,confidence_band,haircut_pct,valuation_source_model,benchmark_band_id
VAL-P0005-2025-12-31,P0005,2025-12-31,market_comparable,158000,785260,2225,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0005-2026-03-31,P0005,2026-03-31,market_comparable,161200,801160,2270,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0006-2025-03-31,P0006,2025-03-31,desktop_indexed,174400,866770,2565,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0006-2025-12-31,P0006,2025-12-31,market_comparable,180500,897090,2655,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0006-2026-03-31,P0006,2026-03-31,market_comparable,184300,915970,2710,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0007-2025-03-31,P0007,2025-03-31,desktop_indexed,152600,758420,1795,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0007-2025-12-31,P0007,2025-12-31,market_comparable,158100,785760,1860,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0007-2026-03-31,P0007,2026-03-31,market_comparable,161100,800670,1895,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0008-2025-03-31,P0008,2025-03-31,desktop_indexed,557300,2769780,2580,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-HOUSE
VAL-P0008-2025-12-31,P0008,2025-12-31,market_comparable,576700,2866200,2670,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-HOUSE
VAL-P0008-2026-03-31,P0008,2026-03-31,market_comparable,537800,2672870,2490,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-HOUSE
VAL-P0009-2025-03-31,P0009,2025-03-31,desktop_indexed,149700,744010,2235,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0009-2025-12-31,P0009,2025-12-31,market_comparable,141700,704250,2115,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0009-2026-03-31,P0009,2026-03-31,market_comparable,144700,719160,2160,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0010-2025-03-31,P0010,2025-03-31,desktop_indexed,142000,705740,1690,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0010-2025-12-31,P0010,2025-12-31,market_comparable,147000,730590,1750,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0010-2026-03-31,P0010,2026-03-31,market_comparable,149900,745000,1785,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0011-2025-03-31,P0011,2025-03-31,desktop_indexed,179400,891620,2215,medium,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0011-2025-12-31,P0011,2025-12-31,market_comparable,185900,923920,2295,medium,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0011-2026-03-31,P0011,2026-03-31,market_comparable,189500,941820,2340,medium,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT
VAL-P0012-2025-03-31,P0012,2025-03-31,desktop_indexed,223000,1108310,2275,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0012-2025-12-31,P0012,2025-12-31,market_comparable,230800,1147080,2355,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0012-2026-03-31,P0012,2026-03-31,market_comparable,235700,1171430,2405,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0013-2025-03-31,P0013,2025-03-31,desktop_indexed,240100,1193300,2035,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-HOUSE
VAL-P0013-2025-12-31,P0013,2025-12-31,market_comparable,248400,1234550,2105,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-HOUSE
VAL-P0013-2026-03-31,P0013,2026-03-31,market_comparable,253100,1257910,2145,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-HOUSE
VAL-P0014-2025-03-31,P0014,2025-03-31,desktop_indexed,133200,662000,1850,wide,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0014-2025-12-31,P0014,2025-12-31,market_comparable,137900,685360,1915,wide,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0014-2026-03-31,P0014,2026-03-31,market_comparable,140800,699780,1955,wide,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0015-2025-03-31,P0015,2025-03-31,desktop_indexed,166400,827010,1870,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0015-2025-12-31,P0015,2025-12-31,market_comparable,172200,855830,1935,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0015-2026-03-31,P0015,2026-03-31,market_comparable,175300,871240,1970,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0016-2025-03-31,P0016,2025-03-31,desktop_indexed,177600,882670,1675,medium,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0016-2025-12-31,P0016,2025-12-31,market_comparable,183900,913980,1735,medium,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0016-2026-03-31,P0016,2026-03-31,market_comparable,187100,929890,1765,medium,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0017-2025-03-31,P0017,2025-03-31,desktop_indexed,135300,672440,1905,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0017-2025-12-31,P0017,2025-12-31,market_comparable,139900,695300,1970,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0017-2026-03-31,P0017,2026-03-31,market_comparable,130600,649080,1840,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0018-2025-03-31,P0018,2025-03-31,desktop_indexed,154000,765380,2265,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-APARTMENT
VAL-P0018-2025-12-31,P0018,2025-12-31,market_comparable,145900,725120,2145,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-APARTMENT
VAL-P0018-2026-03-31,P0018,2026-03-31,market_comparable,148900,740030,2190,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-CENTRAL-APARTMENT
VAL-P0019-2025-03-31,P0019,2025-03-31,desktop_indexed,111800,555650,1315,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0019-2025-12-31,P0019,2025-12-31,market_comparable,115600,574530,1360,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0019-2026-03-31,P0019,2026-03-31,market_comparable,118200,587450,1390,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0020-2025-03-31,P0020,2025-03-31,desktop_indexed,452500,2248930,2095,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-HOUSE
VAL-P0020-2025-12-31,P0020,2025-12-31,market_comparable,468700,2329440,2170,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-HOUSE
VAL-P0020-2026-03-31,P0020,2026-03-31,market_comparable,478400,2377650,2215,narrow,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-HOUSE
VAL-P0021-2025-03-31,P0021,2025-03-31,desktop_indexed,121600,604350,1815,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0021-2025-12-31,P0021,2025-12-31,market_comparable,125600,624230,1875,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0021-2026-03-31,P0021,2026-03-31,market_comparable,128300,637650,1915,medium,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT
VAL-P0022-2025-03-31,P0022,2025-03-31,desktop_indexed,113800,565590,1355,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0022-2025-12-31,P0022,2025-12-31,market_comparable,117600,584470,1400,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0022-2026-03-31,P0022,2026-03-31,market_comparable,120100,596900,1430,narrow,28,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT
VAL-P0023-2025-03-31,P0023,2025-03-31,desktop_indexed,361100,1794670,3060,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0023-2025-12-31,P0023,2025-12-31,market_comparable,374100,1859280,3170,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0023-2026-03-31,P0023,2026-03-31,market_comparable,381100,1894070,3230,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0024-2025-03-31,P0024,2025-03-31,desktop_indexed,188600,937340,2620,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0024-2025-12-31,P0024,2025-12-31,market_comparable,195100,969650,2710,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0024-2026-03-31,P0024,2026-03-31,market_comparable,199100,989530,2765,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0025-2025-03-31,P0025,2025-03-31,desktop_indexed,218100,1083960,2450,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0025-2025-12-31,P0025,2025-12-31,market_comparable,225600,1121230,2535,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0025-2026-03-31,P0025,2026-03-31,market_comparable,230100,1143600,2585,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0026-2025-03-31,P0026,2025-03-31,desktop_indexed,187100,929890,1765,medium,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0026-2025-12-31,P0026,2025-12-31,market_comparable,193500,961700,1825,medium,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0026-2026-03-31,P0026,2026-03-31,market_comparable,180700,898080,1705,medium,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0027-2025-03-31,P0027,2025-03-31,desktop_indexed,177100,880190,2495,wide,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0027-2025-12-31,P0027,2025-12-31,market_comparable,167600,832970,2360,wide,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0027-2026-03-31,P0027,2026-03-31,market_comparable,171100,850370,2410,wide,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0028-2025-03-31,P0028,2025-03-31,desktop_indexed,199600,992010,2935,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0028-2025-12-31,P0028,2025-12-31,market_comparable,206700,1027300,3040,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0028-2026-03-31,P0028,2026-03-31,market_comparable,210800,1047680,3100,narrow,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0029-2025-03-31,P0029,2025-03-31,desktop_indexed,162400,807130,1910,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0029-2025-12-31,P0029,2025-12-31,market_comparable,168300,836450,1980,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0029-2026-03-31,P0029,2026-03-31,market_comparable,171700,853350,2020,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0030-2025-03-31,P0030,2025-03-31,desktop_indexed,548600,2726540,2540,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0030-2025-12-31,P0030,2025-12-31,market_comparable,568100,2823460,2630,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0030-2026-03-31,P0030,2026-03-31,market_comparable,578900,2877130,2680,narrow,20,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0031-2025-03-31,P0031,2025-03-31,desktop_indexed,159100,790730,2375,medium,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0031-2025-12-31,P0031,2025-12-31,market_comparable,164800,819060,2460,medium,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0031-2026-03-31,P0031,2026-03-31,market_comparable,168200,835950,2510,medium,15,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0032-2025-03-31,P0032,2025-03-31,desktop_indexed,178900,889130,2130,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0032-2025-12-31,P0032,2025-12-31,market_comparable,185200,920440,2205,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0032-2026-03-31,P0032,2026-03-31,market_comparable,188600,937340,2245,narrow,22,synthetic-official-context-v1,PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT
VAL-P0033-2025-03-31,P0033,2025-03-31,desktop_indexed,225400,1120240,1910,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0033-2025-12-31,P0033,2025-12-31,market_comparable,233100,1158510,1975,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0033-2026-03-31,P0033,2026-03-31,market_comparable,237800,1181870,2015,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-HOUSE
VAL-P0034-2025-03-31,P0034,2025-03-31,desktop_indexed,121300,602860,1685,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0034-2025-12-31,P0034,2025-12-31,market_comparable,125300,622740,1740,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0034-2026-03-31,P0034,2026-03-31,market_comparable,127800,635170,1775,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0035-2025-03-31,P0035,2025-03-31,desktop_indexed,151300,751960,1700,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0035-2025-12-31,P0035,2025-12-31,market_comparable,156600,778300,1760,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0035-2026-03-31,P0035,2026-03-31,market_comparable,146000,725620,1640,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0036-2025-03-31,P0036,2025-03-31,desktop_indexed,160600,798180,1515,medium,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0036-2025-12-31,P0036,2025-12-31,market_comparable,152100,755940,1435,medium,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0036-2026-03-31,P0036,2026-03-31,market_comparable,155300,771840,1465,medium,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0037-2025-03-31,P0037,2025-03-31,desktop_indexed,112500,559130,1585,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0037-2025-12-31,P0037,2025-12-31,market_comparable,116400,578510,1640,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0037-2026-03-31,P0037,2026-03-31,market_comparable,118900,590930,1675,narrow,15,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0038-2025-03-31,P0038,2025-03-31,desktop_indexed,115600,574530,1700,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0038-2025-12-31,P0038,2025-12-31,market_comparable,120000,596400,1765,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0038-2026-03-31,P0038,2026-03-31,market_comparable,122400,608330,1800,narrow,28,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0039-2025-03-31,P0039,2025-03-31,desktop_indexed,97800,486070,1150,narrow,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0039-2025-12-31,P0039,2025-12-31,market_comparable,101200,502960,1190,narrow,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0039-2026-03-31,P0039,2026-03-31,market_comparable,103300,513400,1215,narrow,22,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-OUTER-APARTMENT
VAL-P0040-2025-03-31,P0040,2025-03-31,desktop_indexed,411500,2045160,1905,wide,20,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0040-2025-12-31,P0040,2025-12-31,market_comparable,425500,2114740,1970,wide,20,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0040-2026-03-31,P0040,2026-03-31,market_comparable,434200,2157970,2010,wide,20,synthetic-official-context-v1,PB-TIMISOARA-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0041-2025-03-31,P0041,2025-03-31,desktop_indexed,225400,1120240,1910,medium,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-HOUSE
VAL-P0041-2025-12-31,P0041,2025-12-31,market_comparable,233100,1158510,1975,medium,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-HOUSE
VAL-P0041-2026-03-31,P0041,2026-03-31,market_comparable,237800,1181870,2015,medium,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-HOUSE
VAL-P0042-2025-03-31,P0042,2025-03-31,desktop_indexed,109100,542230,1515,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0042-2025-12-31,P0042,2025-12-31,market_comparable,113000,561610,1570,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0042-2026-03-31,P0042,2026-03-31,market_comparable,115200,572540,1600,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0043-2025-03-31,P0043,2025-03-31,desktop_indexed,136200,676910,1530,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0043-2025-12-31,P0043,2025-12-31,market_comparable,141100,701270,1585,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0043-2026-03-31,P0043,2026-03-31,market_comparable,143700,714190,1615,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0044-2025-03-31,P0044,2025-03-31,desktop_indexed,130400,648090,1230,narrow,28,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0044-2025-12-31,P0044,2025-12-31,market_comparable,135200,671940,1275,narrow,28,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0044-2026-03-31,P0044,2026-03-31,market_comparable,126100,626720,1190,narrow,28,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0045-2025-03-31,P0045,2025-03-31,desktop_indexed,110800,550680,1560,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0045-2025-12-31,P0045,2025-12-31,market_comparable,104700,520360,1475,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0045-2026-03-31,P0045,2026-03-31,market_comparable,106900,531290,1505,narrow,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-APARTMENT
VAL-P0046-2025-03-31,P0046,2025-03-31,desktop_indexed,115600,574530,1700,medium,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0046-2025-12-31,P0046,2025-12-31,market_comparable,119700,594910,1760,medium,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0046-2026-03-31,P0046,2026-03-31,market_comparable,122100,606840,1795,medium,15,synthetic-official-context-v1,PB-IASI-MUNICIPIU-CENTRAL-APARTMENT
VAL-P0047-2025-03-31,P0047,2025-03-31,desktop_indexed,101600,504950,1195,narrow,22,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0047-2025-12-31,P0047,2025-12-31,market_comparable,105000,521850,1235,narrow,22,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0047-2026-03-31,P0047,2026-03-31,market_comparable,107100,532290,1260,narrow,22,synthetic-official-context-v1,PB-IASI-MUNICIPIU-OUTER-APARTMENT
VAL-P0048-2025-03-31,P0048,2025-03-31,desktop_indexed,370400,1840890,1715,narrow,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0048-2025-12-31,P0048,2025-12-31,market_comparable,383400,1905500,1775,narrow,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0048-2026-03-31,P0048,2026-03-31,market_comparable,391000,1943270,1810,narrow,20,synthetic-official-context-v1,PB-IASI-MUNICIPIU-SEMI-CENTRAL-HOUSE
VAL-P0049-2025-03-31,P0049,2025-03-31,desktop_indexed,260800,1296180,2210,narrow,20,synthetic-official-context-v1,PB-CONSTANTA-MUNICIPIU-CENTRAL-HOUSE
