property_id,county,city,sector_or_district,neighborhood,neighborhood_tier,urban_rural,latitude,longitude,center_distance_km_band,transit_access_band,school_access_band,hospital_access_band,market_liquidity_band
P0034,Timis,Timisoara,Municipiu,Girocului,semi-central,urban,45.7600,21.2340,2-6,medium,high,high,high
P0035,Timis,Timisoara,Municipiu,Lipovei,semi-central,urban,45.7660,21.2410,2-6,high,high,high,high
P0036,Timis,Timisoara,Municipiu,Soarelui,outer,urban,45.7300,21.2130,6-12,high,medium,high,medium
P0037,Timis,Timisoara,Municipiu,Cetate,semi-central,urban,45.7360,21.2200,2-6,limited,high,medium,high
P0038,Timis,Timisoara,Municipiu,Girocului,central,urban,45.7420,21.2270,0-2,high,high,high,high
P0039,Timis,Timisoara,Municipiu,Lipovei,outer,urban,45.7480,21.2340,6-12,high,high,high,medium
P0040,Timis,Timisoara,Municipiu,Soarelui,semi-central,urban,45.7540,21.2410,2-6,medium,high,high,high
P0041,Iasi,Iasi,Municipiu,Centru,central,urban,47.1700,27.5870,0-2,high,medium,medium,high
P0042,Iasi,Iasi,Municipiu,Copou,semi-central,urban,47.1760,27.5940,2-6,high,high,high,high
P0043,Iasi,Iasi,Municipiu,Pacurari,semi-central,urban,47.1400,27.6010,2-6,limited,high,high,high
P0044,Iasi,Iasi,Municipiu,Tatarasi,outer,urban,47.1460,27.6080,6-12,high,high,high,medium
P0045,Iasi,Iasi,Municipiu,Centru,semi-central,urban,47.1520,27.6150,2-6,high,high,medium,high
P0046,Iasi,Iasi,Municipiu,Copou,central,urban,47.1580,27.5870,0-2,medium,medium,high,high
P0047,Iasi,Iasi,Municipiu,Pacurari,outer,urban,47.1640,27.5940,6-12,high,high,high,medium
P0048,Iasi,Iasi,Municipiu,Tatarasi,semi-central,urban,47.1700,27.6010,2-6,high,high,high,high
P0049,Constanta,Constanta,Municipiu,Tomis,central,urban,44.1990,28.6410,0-2,limited,high,medium,high
P0050,Constanta,Constanta,Municipiu,Faleza Nord,semi-central,urban,44.1630,28.6480,2-6,high,high,high,high
P0051,Constanta,Constanta,Municipiu,Dacia,semi-central,urban,44.1690,28.6200,2-6,high,medium,high,high
P0052,Constanta,Constanta,Municipiu,Coiciu,outer,urban,44.1750,28.6270,6-12,medium,high,high,medium
P0053,Constanta,Constanta,Municipiu,Tomis,semi-central,urban,44.1810,28.6340,2-6,high,high,medium,high
P0054,Constanta,Constanta,Municipiu,Faleza Nord,central,urban,44.1870,28.6410,0-2,high,high,high,high
P0055,Brasov,Brasov,Municipiu,Centrul Civic,central,urban,45.6690,25.6150,0-2,limited,high,high,high
P0056,Brasov,Brasov,Municipiu,Tractorul,semi-central,urban,45.6750,25.5870,2-6,high,medium,high,high
P0057,Brasov,Brasov,Municipiu,Astra,semi-central,urban,45.6390,25.5940,2-6,high,high,medium,high
P0058,Brasov,Brasov,Municipiu,Racadau,outer,urban,45.6450,25.6010,6-12,medium,high,high,medium
P0059,Brasov,Brasov,Municipiu,Centrul Civic,semi-central,urban,45.6510,25.6080,2-6,high,high,high,high
P0060,Brasov,Brasov,Municipiu,Tractorul,central,urban,45.6570,25.6150,0-2,high,high,high,high
